GEOID,population
6001,1666753
6003,1101
6005,39383
6007,231256
6009,45602
6011,21627
6013,1150215
6015,27828
6017,190678
6019,994400
6021,28047
6023,136373
6025,181827
6027,17987
6029,896764
6031,151366
6033,64382
6035,30802
6037,10105518
6039,157672
6041,259666
6043,17471
6045,87606
6047,274765
6049,8777
6051,14250
6053,435594
6055,139417
6057,99696
6059,3185968
6061,393149
6063,18804
6065,2450758
6067,1540975
6069,61537
6071,2171603
6073,3343364
6075,883305
6077,752660
6079,284010
6081,769545
6083,446527
6085,1937570
6087,274255
6089,180040
6091,2987
6093,43724
6095,446610
6097,499942
6099,549815
6101,96807
6103,63916
6105,12535
6107,465861
6109,54539
6111,850967
6113,220408
6115,78041
